SEAWEA_ID,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id
69,10145,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,16.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.230208,18.219194,
70,10149,Nam Houm,Nam Houm,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,1981,Operational,22,870,8.8,-99,8.8,42,-99,42,17.7,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,102.466806,18.177759,
71,10161,Nong Lerng,Nong Lerng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,0,16.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,103.62592,18.027967,
72,10166,Chiang At,Chiang At,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,16.4,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,102.890025,17.893093,
73,10170,Nam Phan,Nam Phan,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,17.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,103.092348,17.85865,
74,10172,Nong Fa,Nong Fa,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,17.1,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,103.977083,17.81875,
75,10180,Ta Ma Nao,Ta Ma Nao,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,17.4,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,103.285429,17.730007,
76,10185,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,17,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.43435,17.640161,
77,10190,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,16.1,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,104.26198,17.607348,
78,10196,Ban Song Tao,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,17.8,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,104.172531,17.413032,
79,10197,Nong Sa Eue,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2007,Operational,-99,-99,-99,-99,-99,-99,-99,-99,16.2,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,104.212719,17.409069,
80,10199,Huai Luang,Huai Luang,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1984,Operational,12.5,-99,3.2,-99,3.2,135.57,-99,135.57,15.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Water supply,SEAWEA_UNKNOWN,102.594237,17.368812,
81,10228,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,15.8,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,104.313186,16.963468,
